JANELA,MONEYNESS_ALVO,STOP_CALIBRADO,CENARIO,DIAS,DTE_D0,DTE_RESTANTE,RETORNO_SPOT,N_CONTRATOS,CUSTO_OPCAO,PNL_OPCAO,PNL_SPOT,RET_OPCAO,RET_SPOT,VANTAGEM
Jan→Abr (alta gradual),0.02,0.05,I,0.0,106.96,106.96,0.0,0.658968200390349,10118.45671699381,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.05,II,0.0,106.96,106.96,0.0,0.658968200390349,10118.45671699381,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.05,III,0.0,106.96,106.96,0.0,0.658968200390349,10118.45671699381,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.05,I,15.0,106.96,91.96,0.011877853007351964,0.658968200390349,10118.45671699381,-253.70275715028586,1187.7853007351964,-0.002537027571502859,0.011877853007351964,-0.014414880578854823
Jan→Abr (alta gradual),0.02,0.05,II,15.0,106.96,91.96,0.011877853007351964,0.658968200390349,10118.45671699381,1536.5763335494062,1187.7853007351964,0.015365763335494062,0.011877853007351964,0.0034879103281420976
Jan→Abr (alta gradual),0.02,0.05,III,15.0,106.96,91.96,0.011877853007351964,0.658968200390349,10118.45671699381,1537.5955417156076,1187.7853007351964,0.015375955417156075,0.011877853007351964,0.003498102409804112
Jan→Abr (alta gradual),0.02,0.05,I,30.0,106.96,76.96,0.07341068513698343,0.658968200390349,10118.45671699381,9044.338550357535,7341.068513698343,0.09044338550357535,0.07341068513698343,0.017032700366591925
Jan→Abr (alta gradual),0.02,0.05,II,30.0,106.96,76.96,0.07341068513698343,0.658968200390349,10118.45671699381,11640.432050121124,7341.068513698343,0.11640432050121124,0.07341068513698343,0.04299363536422781
Jan→Abr (alta gradual),0.02,0.05,III,30.0,106.96,76.96,0.07341068513698343,0.658968200390349,10118.45671699381,11705.59640594324,7341.068513698343,0.1170559640594324,0.07341068513698343,0.04364527892244898
Jan→Abr (alta gradual),0.02,0.05,I,45.0,106.96,58.96,0.03741640477605441,0.658968200390349,10118.45671699381,1887.9438941183485,3741.640477605441,0.018879438941183484,0.03741640477605441,-0.018536965834870925
Jan→Abr (alta gradual),0.02,0.05,II,45.0,106.96,58.96,0.03741640477605441,0.658968200390349,10118.45671699381,5293.838494826065,3741.640477605441,0.05293838494826065,0.03741640477605441,0.015521980172206235
Jan→Abr (alta gradual),0.02,0.05,III,45.0,106.96,58.96,0.03741640477605441,0.658968200390349,10118.45671699381,5310.766885071354,3741.640477605441,0.053107668850713545,0.03741640477605441,0.015691264074659133
Jan→Abr (alta gradual),0.02,0.05,I,60.0,106.96,45.96,0.050622957966881155,0.658968200390349,10118.45671699381,2256.9660863369454,5062.295796688116,0.022569660863369454,0.050622957966881155,-0.028053297103511704
Jan→Abr (alta gradual),0.02,0.05,II,60.0,106.96,45.96,0.050622957966881155,0.658968200390349,10118.45671699381,7479.630161412098,5062.295796688116,0.07479630161412097,0.050622957966881155,0.024173343647239817
Jan→Abr (alta gradual),0.02,0.05,III,60.0,106.96,45.96,0.050622957966881155,0.658968200390349,10118.45671699381,7510.617664831636,5062.295796688116,0.07510617664831636,0.050622957966881155,0.0244832186814352
Jan→Abr (alta gradual),0.02,0.05,I,75.0,106.96,32.0,0.025530766416064846,0.658968200390349,10118.45671699381,-2349.2216343915948,2553.0766416064844,-0.023492216343915948,0.025530766416064846,-0.049022982759980786
Jan→Abr (alta gradual),0.02,0.05,II,75.0,106.96,32.0,0.025530766416064846,0.658968200390349,10118.45671699381,3468.200486881245,2553.0766416064844,0.03468200486881245,0.025530766416064846,0.009151238452747608
Jan→Abr (alta gradual),0.02,0.05,III,75.0,106.96,32.0,0.025530766416064846,0.658968200390349,10118.45671699381,3476.082175191049,2553.0766416064844,0.03476082175191049,0.025530766416064846,0.009230055335845646
Jan→Abr (alta gradual),0.02,0.05,I,90.0,106.96,17.0,0.0642966323159607,0.658968200390349,10118.45671699381,2243.786722329137,6429.66323159607,0.022437867223291368,0.0642966323159607,-0.04185876509266933
Jan→Abr (alta gradual),0.02,0.05,II,90.0,106.96,17.0,0.0642966323159607,0.658968200390349,10118.45671699381,9917.159798774745,6429.66323159607,0.09917159798774744,0.0642966323159607,0.03487496567178675
Jan→Abr (alta gradual),0.02,0.05,III,90.0,106.96,17.0,0.0642966323159607,0.658968200390349,10118.45671699381,9967.148056983735,6429.66323159607,0.09967148056983735,0.0642966323159607,0.035374848253876656
Jan→Abr (alta gradual),0.02,0.1,I,0.0,106.96,106.96,0.0,0.8639719318218989,13266.289013125259,0.0,0.0,0.0,0.0,0.0
Jan→Abr (alta gradual),0.02,0.1,II,0.0,106.96,106.96,0.0,0.8639719318218989,13266.289013125259,0.0,0.0,0.0,0.0,0.0
